,RealPower1,RealPower5,RealPower8,RealPower9,RealPower12,RealPower13,RealPower16,RealPower17,RealPower21,RealPower24,RealPower25,RealPower28,RealPower29,RealPower33,RealPower36,RealPower37,RealPower40,RealPower41,RealPower_42,RealPower_43,RealPower_44,RealPower_45,RealPower_46,RealPower_47,RealPower_48
28,0.31,0.0,0.0,0.0,0.036,0.316,0.0,0.048,0.558,0.348,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.314,0.0,0.0,0.0,0.041,0.319,0.0,0.045,0.558,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.31,4.198,0.0,0.053,0.05,0.319,0.0,0.048,0.556,0.347,0.859,0.0,0.0,0.24,0.0,0.621,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9.062,65.617,7.312,16.269,1.806,1.673,10.042,5.42,4.373,4.542,7.874,9.613,6.824,5.784,17.762,22.642,18.028,6.338,11.10235,12.688400000000001,7.93025,4.1824,6.273599999999999,14.9196,22.3794
32,23.298,141.377,50.03,53.228,17.47,12.556,58.349,30.977,20.534,20.388,23.015,60.577,33.143,29.608,125.24,54.884,99.969,32.331,72.6831,83.0664,51.9165,37.482,56.223,113.3676,170.05139999999997
33,51.586,211.384,122.881,82.379,42.475,29.478,151.756,48.602,35.355,41.005,36.709,148.997,76.524,59.185,227.761,92.647,163.12,66.665,168.6874,192.78560000000002,120.491,89.15960000000001,133.7394,191.9272,287.89079999999996
34,74.219,248.297,159.316,100.702,71.978,54.9,202.33,64.008,47.263,55.934,42.809,214.972,115.593,73.126,297.861,116.972,211.65,95.558,213.311,243.78400000000002,152.365,137.4248,206.1372,256.5532,384.82980000000003
35,81.99,266.514,177.586,120.32,91.041,73.665,227.128,72.27,56.366,63.901,45.805,234.438,128.944,79.658,331.502,126.192,236.736,109.636,233.38909999999998,266.73040000000003,166.7065,164.60840000000002,246.9126,288.39000000000004,432.585
37,60.552,208.128,134.735,106.501,86.908,70.77,162.076,55.257,44.784,49.662,36.134,180.717,94.996,62.016,253.107,99.009,183.813,78.486,217.14,248.16,155.1,134.91479999999999,202.3722,206.79840000000002,310.19759999999997
38,49.999,134.747,130.517,81.203,94.58,71.554,119.707,54.299,45.293,49.499,22.808,165.409,89.735,58.437,254.071,64.034,181.507,62.064,182.5733,208.65520000000004,130.4095,130.00840000000002,195.0126,182.472,273.70799999999997
39,15.351,38.18,63.044,25.631,62.225,47.187,55.847,33.492,25.906,25.323,6.645,81.746,46.914,30.618,131.366,20.014,108.074,23.708,100.29915,114.62760000000002,71.64225,76.284,114.426,80.87480000000001,121.3122
40,4.472,0.684,8.386,2.718,15.37,13.443,7.57,8.56,5.252,4.701,0.505,15.008,17.281,4.338,19.411,1.208,25.849,5.826,11.34595,12.966800000000001,8.10425,18.787200000000002,28.1808,12.288800000000002,18.4332
41,0.278,0.0,0.0,0.0,0.59,0.886,0.0,0.05,0.57,0.369,0.0,0.0,6.351,0.231,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.2424,0.3636,0.0,0.0
42,0.274,0.0,0.0,0.0,0.05,0.32,0.0,0.049,0.559,0.351,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.283,0.0,0.0,0.0,0.048,0.321,0.0,0.048,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.279,0.0,0.0,0.0,0.046,0.32,0.0,0.048,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.288,0.0,0.0,0.0,0.048,0.321,0.0,0.049,0.56,0.349,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.298,0.0,0.0,0.0,0.043,0.32,0.0,0.046,0.556,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.263,0.0,0.0,0.0,0.04,0.318,0.0,0.048,0.549,0.344,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.291,0.0,0.0,0.0,0.039,0.317,0.0,0.046,0.549,0.345,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.312,0.0,0.0,0.0,0.045,0.317,0.0,0.044,0.551,0.347,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.304,0.0,0.0,0.0,0.037,0.315,0.0,0.046,0.548,0.344,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.296,0.0,0.0,0.0,0.036,0.316,0.0,0.044,0.548,0.344,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.294,0.0,0.0,0.0,0.04,0.315,0.0,0.044,0.548,0.344,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.315,0.0,0.0,0.0,0.042,0.316,0.0,0.047,0.556,0.349,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.323,0.242,0.0,0.0,0.046,0.319,0.0,0.047,0.552,0.348,0.305,0.0,0.0,0.23,0.0,0.217,0.0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.445,23.068,0.621,6.353,0.418,0.582,1.407,1.001,1.803,1.737,4.182,0.819,2.011,2.267,2.691,8.186,3.411,2.43,3.1759,3.6296,2.2685,0.6492,0.9738,0.0,0.0
56,13.232,50.525,15.312,22.726,7.216,6.047,21.26,7.077,7.048,7.61,8.978,29.971,15.139,9.03,28.752,21.964,27.009,12.195,25.8552,29.5488,18.468,17.346799999999998,26.0202,19.534800000000004,29.3022
57,18.473,77.067,26.064,30.521,14.671,12.137,33.944,11.779,10.585,11.573,13.496,54.089,23.337,12.805,48.023,31.689,44.488,18.347,46.403349999999996,53.032399999999996,33.14525,34.3424,51.5136,51.9812,77.9718
58,33.573,114.804,47.003,55.052,24.705,20.013,63.591,20.712,18.392,20.065,20.235,90.026,44.298,24.912,87.029,52.811,78.495,34.192,64.97085,74.25240000000001,46.40775,55.0808,82.6212,95.3716,143.0574
59,35.433,120.462,58.997,54.739,37.165,30.599,74.969,26.087,21.969,24.034,21.217,118.891,54.114,26.134,110.5,53.596,96.844,41.979,79.8343,91.23920000000001,57.0245,75.4248,113.1372,117.66400000000002,176.496
60,39.532,116.435,64.013,60.531,39.991,32.929,83.652,28.336,24.668,26.993,20.71,124.575,64.439,30.633,119.764,55.133,104.511,46.942,83.86104999999999,95.84120000000001,59.90075,79.0308,118.5462,128.0924,192.1386
61,32.909,92.339,56.219,48.178,38.856,32.183,70.601,25.071,21.355,23.355,16.461,112.634,55.329,25.013,103.014,44.004,91.631,39.867,81.088,92.67200000000001,57.92,72.69800000000001,109.047,113.28920000000001,169.9338
62,25.831,68.389,42.548,37.973,30.507,25.471,53.045,19.163,17.136,18.57,12.348,87.117,43.526,19.915,75.447,33.231,70.883,31.474,54.8842,62.72480000000001,39.203,57.156800000000004,85.73519999999999,86.60520000000001,129.9078
