Supply,Month,Day,Hour,DHI,DNI,GHI,Temp,Weekday,target
0.0003692087204916439,0.5454545454545454,0.3333333333333333,0.043478260869565216,0.0,0.0,0.0,0.5903846153846155,0.3333333333333333,2.6380000000000003
0.0003710281721089263,0.5454545454545454,0.3333333333333333,0.08695652173913043,0.0,0.0,0.0,0.5942307692307693,0.3333333333333333,2.629
0.00037466707534349145,0.5454545454545454,0.3333333333333333,0.13043478260869565,0.0,0.0,0.0,0.5942307692307693,0.3333333333333333,2.688
0.00037368737062649313,0.5454545454545454,0.3333333333333333,0.17391304347826086,0.0,0.0,0.0,0.6038461538461539,0.3333333333333333,2.697
0.000914484374409553,0.5454545454545454,0.3333333333333333,0.21739130434782608,0.14361702127659573,0.10398009950248756,0.03663691874119305,0.651923076923077,0.3333333333333333,7.613
0.017796756057724204,0.5454545454545454,0.3333333333333333,0.2608695652173913,0.4441489361702128,0.4079601990049751,0.1864725223109441,0.7153846153846155,0.3333333333333333,130.611
0.11685260062617127,0.5454545454545454,0.3333333333333333,0.30434782608695654,0.6143617021276596,0.5915422885572139,0.3729450446218882,0.7750000000000001,0.3333333333333333,697.783
0.2791164742946476,0.5454545454545454,0.3333333333333333,0.34782608695652173,0.7127659574468085,0.6980099502487562,0.5561296383278534,0.823076923076923,0.3333333333333333,1862.7430000000004
0.4576042580766157,0.5454545454545454,0.3333333333333333,0.3913043478260869,0.773936170212766,0.7621890547263681,0.7125410991075622,0.8576923076923078,0.3333333333333333,3241.1029999999996
0.589366984790784,0.5454545454545454,0.3333333333333333,0.43478260869565216,0.6037234042553191,0.8577114427860696,0.8431188351338657,0.875,0.3333333333333333,4223.300000000001
0.6055080398767813,0.5454545454545454,0.3333333333333333,0.4782608695652174,0.6329787234042553,0.8686567164179104,0.9069985908877408,0.8769230769230771,0.3333333333333333,4941.339
0.5128425292616806,0.5454545454545454,0.3333333333333333,0.5217391304347826,0.648936170212766,0.8666666666666666,0.9145138562705496,0.8673076923076923,0.3333333333333333,5353.731
0.44850825961055335,0.5454545454545454,0.3333333333333333,0.5652173913043478,0.7606382978723404,0.8218905472636815,0.8586190699859089,0.851923076923077,0.3333333333333333,5382.688999999999
0.41483384907788795,0.5454545454545454,0.3333333333333333,0.6086956521739131,0.7340425531914894,0.7915422885572139,0.7566932832315642,0.8307692307692309,0.3333333333333333,5098.131
0.49929727180227884,0.5454545454545454,0.3333333333333333,0.6521739130434783,0.6728723404255319,0.7427860696517412,0.6120244246124942,0.8096153846153846,0.3333333333333333,4506.724
0.4579172037547883,0.5454545454545454,0.3333333333333333,0.6956521739130435,0.5851063829787234,0.6611940298507463,0.4354156881164866,0.776923076923077,0.3333333333333333,3333.0420000000004
0.3130129978824382,0.5454545454545454,0.3333333333333333,0.7391304347826086,0.449468085106383,0.5203980099502488,0.24753405354626587,0.7365384615384616,0.3333333333333333,1860.5700000000002
0.14223171136219542,0.5454545454545454,0.3333333333333333,0.7826086956521738,0.23138297872340424,0.25422885572139303,0.07750117426021606,0.6903846153846154,0.3333333333333333,774.5750000000002
0.03318161906001531,0.5454545454545454,0.3333333333333333,0.8260869565217391,0.0,0.0,0.0,0.6480769230769232,0.3333333333333333,161.108
0.0007045476493384894,0.5454545454545454,0.3333333333333333,0.8695652173913043,0.0,0.0,0.0,0.6230769230769233,0.3333333333333333,3.5480000000000005
0.0003811051349123374,0.5454545454545454,0.3333333333333333,0.9130434782608695,0.0,0.0,0.0,0.6057692307692308,0.3333333333333333,2.6340000000000003
0.00038432416469676037,0.5454545454545454,0.3333333333333333,0.9565217391304348,0.0,0.0,0.0,0.5923076923076924,0.3333333333333333,2.654
0.00037228779245935276,0.5454545454545454,0.3333333333333333,1.0,0.0,0.0,0.0,0.5865384615384617,0.3333333333333333,2.657
0.0003728476237262089,0.5454545454545454,0.3666666666666667,0.0,0.0,0.0,0.0,0.5846153846153845,0.5,2.6650000000000005
0.0003692087204916439,0.5454545454545454,0.3666666666666667,0.043478260869565216,0.0,0.0,0.0,0.5807692307692309,0.5,2.6540000000000004
0.00036794910014121743,0.5454545454545454,0.3666666666666667,0.08695652173913043,0.0,0.0,0.0,0.5730769230769233,0.5,2.6300000000000003
0.000376206611327346,0.5454545454545454,0.3666666666666667,0.13043478260869565,0.0,0.0,0.0,0.5653846153846154,0.5,2.648
0.0003774662316777723,0.5454545454545454,0.3666666666666667,0.17391304347826086,0.0,0.0,0.0,0.5615384615384615,0.5,2.656
0.0010654988586440046,0.5454545454545454,0.3666666666666667,0.21739130434782608,0.13031914893617022,0.16218905472636816,0.03898543917332081,0.5807692307692309,0.5,3.0220000000000002
0.01828003039883779,0.5454545454545454,0.3666666666666667,0.2608695652173913,0.35106382978723405,0.49999999999999994,0.1935180836073274,0.6326923076923079,0.5,41.485
0.09766018522017464,0.5454545454545454,0.3666666666666667,0.30434782608695654,0.47606382978723405,0.6736318407960199,0.38468764678252704,0.7153846153846155,0.5,346.92100000000005
0.2607054433793655,0.5454545454545454,0.3666666666666667,0.34782608695652173,0.5478723404255319,0.7701492537313432,0.5697510568341945,0.7942307692307693,0.5,1237.9450000000002
0.4536176996253329,0.5454545454545454,0.3666666666666667,0.3913043478260869,0.5904255319148936,0.8278606965174129,0.7299201503053077,0.8307692307692309,0.5,2551.51
0.5910838473284153,0.5454545454545454,0.3666666666666667,0.43478260869565216,0.6702127659574468,0.8467661691542288,0.8440582433067169,0.8500000000000001,0.5,4140.559000000001
0.6915790180839495,0.5454545454545454,0.3666666666666667,0.4782608695652174,0.6728723404255319,0.8681592039800995,0.9126350399248474,0.8538461538461539,0.5,4622.751
0.7492965020342868,0.5454545454545454,0.3666666666666667,0.5217391304347826,0.6675531914893617,0.872636815920398,0.9229685298262096,0.8461538461538463,0.5,4084.313
0.753349400490692,0.5454545454545454,0.3666666666666667,0.5652173913043478,0.7127659574468085,0.8467661691542288,0.8717707844058243,0.8307692307692309,0.5,3646.0069999999996
0.7135232840821777,0.5454545454545454,0.3666666666666667,0.6086956521739131,0.6808510638297872,0.8208955223880596,0.7698449976514796,0.8076923076923077,0.5,2967.512
0.630751251572776,0.5454545454545454,0.3666666666666667,0.6521739130434783,0.6170212765957447,0.7751243781094527,0.6232973226867075,0.7903846153846155,0.5,2666.6059999999998
0.4664852813362053,0.5454545454545454,0.3666666666666667,0.6956521739130435,0.5398936170212766,0.6960199004975124,0.44387036167214655,0.75,0.5,2147.1460000000006
0.2604013150436459,0.5454545454545454,0.3666666666666667,0.7391304347826086,0.4202127659574468,0.5537313432835821,0.2522310944105214,0.7096153846153845,0.5,1434.2779999999998
0.1084078258812794,0.5454545454545454,0.3666666666666667,0.7826086956521738,0.22074468085106383,0.2771144278606965,0.07844058243306717,0.6596153846153847,0.5,681.7539999999999
0.02254832393516594,0.5454545454545454,0.3666666666666667,0.8260869565217391,0.0,0.0,0.0,0.6192307692307693,0.5,149.887
